,CASE NUMBER,SR LOCATION,COUNTY,NEIGHBORHOOD,SR CREATE DATE,LONGITUDE,LATITUDE,geometry,In_100_Year,In_500_Year,Distance(m)
0,11839602-101001614540,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6900 MAIN ST,Harris County,MEDICAL CENTER AREA,2015-01-03 07:08:48,-95.40507,29.706245,POINT (-95.40506744384766 29.70624542236328),False,True,0.44286184277318547
1,11839604-101001614543,Intersection 6800 FANNIN ST&1102 HOLCOMBE BLVD,Harris County,MEDICAL CENTER AREA,2015-01-03 07:20:41,-95.403015,29.70623,POINT (-95.40301513671875 29.70623016357422),False,True,0.5001166881927579
2,11839605-101001614544,Intersection 700 CONGRESS ST&300 LOUISIANA ST,Harris County,DOWNTOWN,2015-01-03 07:21:12,-95.36333,29.763819,POINT (-95.36332702636719 29.76381874084473),True,False,0.7960734258679234
3,11839643-101001614648,"4209 CHAPMAN, HOUSTON TX 77009",HARRIS,NEAR NORTHSIDE,2015-01-03 09:09:15,-95.35452,29.798708,POINT (-95.35452270507812 29.79870796203613),False,False,0.8407936147897341
4,11839648-101001614666,"9219 LAKE PARK, HOUSTON TX 77078",Harris,EAST HOUSTON,2015-01-03 09:23:12,-95.261475,29.845547,POINT (-95.261474609375 29.84554672241211),False,False,0.7061975519653333
5,11839666-101001614716,Intersection 6800 FANNIN ST&1102 HOLCOMBE BLVD,Harris County,MEDICAL CENTER AREA,2015-01-03 10:07:45,-95.403015,29.70623,POINT (-95.40301513671875 29.70623016357422),False,True,0.5001166881927579
6,11839670-101001614720,"4205 PARKER, HOUSTON TX 77093",Harris,EASTEX - JENSEN AREA,2015-01-03 10:11:28,-95.32658,29.859524,POINT (-95.32657623291016 29.85952377319336),True,False,0.6472731040512402
7,11839681-101001614747,"3520 GILLESPIE, HOUSTON TX 77020",Harris,GREATER FIFTH WARD,2015-01-03 10:31:41,-95.33392,29.76722,POINT (-95.33392333984375 29.76721954345703),False,False,1.880889890890838
8,11839696-101001614772,Intersection 6800 FANNIN ST&1102 HOLCOMBE BLVD,Harris County,MEDICAL CENTER AREA,2015-01-03 10:52:03,-95.403015,29.70623,POINT (-95.40301513671875 29.70623016357422),False,True,0.5001166881927579
9,11839707-101001614791,"106 KENDALL, HOUSTON TX 77003",Harris,SECOND WARD,2015-01-03 11:07:18,-95.33563,29.74913,POINT (-95.33563232421875 29.74913024902344),False,False,1.6629153694320915
10,11839718-101001614813,"1710 WHITE OAK, HOUSTON TX 77009",HARRIS,GREATER HEIGHTS,2015-01-03 11:29:33,-95.374245,29.782055,POINT (-95.37424468994141 29.78205490112305),False,True,0.22154549654960162
11,11839746-101001614861,Intersection 8600 W BELLFORT AVE&11300 S GESSNER RD,Harris County,BRAYS OAKS,2015-01-03 12:00:10,-95.52802,29.655684,POINT (-95.52802276611328 29.65568351745605),False,False,0.4505528355399992
12,11840099-101001615554,"2254 HOLCOMBE, HOUSTON TX 77030",HARRIS,MEDICAL CENTER AREA,2015-01-04 17:11:25,-95.38618,29.705677,POINT (-95.38617706298828 29.7056770324707),False,True,0.5302176434267711
13,11840132-101001615606,"12202 PIPING ROCK, HOUSTON TX 77077",HARRIS,BRIAR FOREST,2015-01-04 20:42:18,-95.59745,29.74003,POINT (-95.59745025634766 29.74003028869629),False,False,0.5077479484389635
14,11840604-101001616967,"14139 WOODTHORPE, HOUSTON TX 77079",Harris,MEMORIAL,2015-01-05 18:01:17,-95.59423,29.775238,POINT (-95.59423065185547 29.77523803710938),False,False,0.8539937756115217
15,11840942-101001617828,"6803 DIONNE, HOUSTON TX 77076",HARRIS,NORTHSIDE/NORTHLINE,2015-01-06 13:03:51,-95.38685,29.860945,POINT (-95.38684844970703 29.8609447479248),False,False,1.1080890212082861
16,101001618886,Intersection 8606 BRAES RIVER DR&7522 JASON ST,Harris County,SHARPSTOWN,2015-01-07 10:35:39,-95.51864,29.684477,POINT (-95.51863861083984 29.68447685241699),True,False,0.4621572041626645
17,11841530-101001619381,"1810 WILLOW POINT, HOUSTON TX 77339",HARRIS,KINGWOOD AREA,2015-01-07 15:06:39,-95.225685,30.056686,POINT (-95.22568511962891 30.05668640136719),False,False,0.3425447537904864
18,11841733-101001619974,Intersection 4300 HOWCHER ST&11300 RUBIN ST,Harris County,SOUTH ACRES / CRESTMONT PARK,2015-01-08 08:55:59,-95.3595,29.636986,POINT (-95.3594970703125 29.63698577880859),False,True,0.4549256460236618
19,11842496-101001621209,"4315 SCHULER, HOUSTON TX 77007",HARRIS,WASHINGTON AVENUE COALITION / MEMORIAL P,2015-01-09 08:42:16,-95.404755,29.772682,POINT (-95.40475463867188 29.77268218994141),False,False,0.3842986629416976
20,11843056-101001622566,"9514 SIERRA, HOUSTON TX 77051",Harris,SUNNYSIDE,2015-01-11 08:31:32,-95.37481,29.653034,POINT (-95.37480926513672 29.65303421020508),False,False,0.3907574614257586
21,11843058-101001622568,"4518 PERRY, HOUSTON TX 77021",Harris,GREATER OST / SOUTH UNION,2015-01-11 08:33:05,-95.349205,29.69541,POINT (-95.34920501708984 29.69540977478027),False,False,0.70546424483114
22,11843061-101001622572,"4826 RIDGETON, HOUSTON TX 77053",Fort Bend,FORT BEND HOUSTON,2015-01-11 08:46:31,-95.457726,29.588867,POINT (-95.45772552490234 29.5888671875),False,True,0.42774662808872005
23,11843069-101001622584,"7302 FONDREN, HOUSTON TX 77036",HARRIS,SHARPSTOWN,2015-01-11 09:09:17,-95.51926,29.701117,POINT (-95.51925659179688 29.70111656188965),False,False,0.88723816488218
24,11843073-101001622590,Intersection 2830 COLLINGSWORTH ST&0 EASTEX FWY,Harris County,GREATER FIFTH WARD,2015-01-11 09:22:07,-95.34028,29.793894,POINT (-95.34027862548828 29.79389381408691),False,False,0.6167239405132336
25,11843074-101001622591,"1227 MAXINE, HOUSTON TX 77029",HARRIS,CLINTON PARK TRI-COMMUNITY,2015-01-11 09:23:06,-95.26859,29.744783,POINT (-95.26859283447266 29.74478340148926),False,False,1.6270058781963865
26,11843087-101001622607,"5018 SOUTHWIND, HOUSTON TX 77033",HARRIS,SOUTH PARK,2015-01-11 10:03:26,-95.34784,29.677078,POINT (-95.34783935546875 29.67707824707031),False,False,1.6430671634534644
27,11843094-101001622618,"5814 SOUTHSEAS, HOUSTON TX 77033",HARRIS,SOUTH PARK,2015-01-11 10:19:19,-95.33385,29.676043,POINT (-95.33384704589844 29.6760425567627),False,False,1.489265759138097
28,11843098-101001622623,"3715 LAURA KOPPE, HOUSTON TX 77093",HARRIS,EASTEX - JENSEN AREA,2015-01-11 10:26:58,-95.331024,29.841253,POINT (-95.33102416992188 29.84125328063965),False,False,0.3498967048585237
29,11843106-101001622635,"5810 SOUTHSEAS, HOUSTON TX 77033",Harris,SOUTH PARK,2015-01-11 10:48:18,-95.33404,29.676046,POINT (-95.33403778076172 29.67604637145996),False,False,1.4919090752995015
30,11843121-101001622658,"8718 VALLEY FOREST, HOUSTON TX 77078",Harris,EAST HOUSTON,2015-01-11 11:41:15,-95.22976,29.849604,POINT (-95.22975921630859 29.8496036529541),False,True,1.277836361034111
31,11843175-101001622727,Intersection 5400 NORTH FWY&500 E TIDWELL RD,Harris County,NORTHSIDE/NORTHLINE,2015-01-11 13:30:20,-95.39241,29.845533,POINT (-95.39241027832031 29.84553337097168),False,True,0.4838144126290551
32,11843191-101001622746,"4929 BATAAN, HOUSTON TX 77033",Harris,SOUTH PARK,2015-01-11 14:32:16,-95.34659,29.682436,POINT (-95.34658813476562 29.68243598937988),False,False,1.277904495719122
33,11843217-101001622780,"4303 RICHMEADOW, HOUSTON TX 77048",HARRIS,SOUTH ACRES / CRESTMONT PARK,2015-01-11 15:48:14,-95.350266,29.620014,POINT (-95.35026550292969 29.62001419067383),False,False,1.128427640653217
34,11843439-101001623293,"3815 WESTHEIMER, HOUSTON TX 77027",Harris,GREENWAY / UPPER KIRBY AREA,2015-01-12 10:10:39,-95.4439,29.74113,POINT (-95.44390106201172 29.74113082885742),False,False,0.3508752791520658
35,11843438-101001623294,"5322 YARWELL, HOUSTON TX 77096",HARRIS,MEYERLAND AREA,2015-01-12 10:10:47,-95.47425,29.671066,POINT (-95.47425079345703 29.67106628417969),True,False,0.17388145693183407
36,11843689-101001623958,"5033 BURMA, HOUSTON TX 77033",Harris,SOUTH PARK,2015-01-12 15:29:28,-95.34304,29.68026,POINT (-95.34304046630859 29.68025970458984),False,False,1.3594402507503898
37,11843883-101001624432,Intersection 7100 APACHE ST&7000 HOMESTEAD RD,Harris County,TRINITY / HOUSTON GARDENS,2015-01-13 08:00:13,-95.30196,29.822683,POINT (-95.30196380615234 29.82268333435059),False,True,1.7847745618090196
38,11844171-101001625157,"2254 HOLCOMBE, HOUSTON TX 77030",HARRIS,MEDICAL CENTER AREA,2015-01-13 14:12:17,-95.38618,29.705677,POINT (-95.38617706298828 29.7056770324707),False,True,0.5302176434267711
39,11844177-101001625185,"6901 ALMEDA, HOUSTON TX 77021",HARRIS,MACGREGOR,2015-01-13 14:22:14,-95.3852,29.702698,POINT (-95.38520050048828 29.70269775390625),False,True,0.7177984669761152
40,11844247-101001625388,"2112 FREEMAN, HOUSTON TX 77009",Harris,NEAR NORTHSIDE,2015-01-13 15:49:22,-95.36201,29.779467,POINT (-95.36200714111328 29.77946662902832),False,False,0.4880980607830074
41,11844304-101001625574,"902 CORDELL, HOUSTON TX 77009",HARRIS,GREATER HEIGHTS,2015-01-13 17:35:30,-95.37446,29.799198,POINT (-95.37445831298828 29.79919815063477),False,False,0.16527849064713207
